country_name,country_code,indicator_name,indicator_code, debt 
Afghanistan,AFG,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 72,894,453.70 "
Afghanistan,AFG,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 53,239,440.10 "
Albania,ALB,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 236,447,897.30 "
Albania,ALB,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 310,371,858.40 "
Albania,ALB,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 41,948,869.70 "
Algeria,DZA,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD,
Algeria,DZA,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 15,775,406.60 "
Angola,AGO,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD,
Angola,,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 1,052,092,441.00 "
Armenia,,"PPG, official creditors (AMT, current US$)",yes," 163,299,521.80 "
Armenia,ARM,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 426,959,175.60 "
Armenia,ARM,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 81,266,295.90 "
Azerbaijan,AZE,"PPG, official creditors (AMT, current US$)",yes," 619,993,593.50 "
Azerbaijan,AZE,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 740,907,061.60 "
Azerbaijan,AZE,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 146,663,096.90 "
Bangladesh,BGD,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 1,426,266,903.00 "
Bangladesh,BGD,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 665,472,448.70 "
Belarus,BLR,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 2,082,802,105.00 "
Belarus,BLR,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 2,506,830,193.00 "
Belarus,BLR,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 763,261,494.80 "
Belize,BLZ,"PPG, official creditors (AMT, current US$)",yes,
Belize,,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 53,429,527.60 "
Belize,BLZ,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 14,452,437.10 "
Benin,BEN,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 117,646,145.30 "
Benin,BEN,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 604,445,728.50 "
,BEN,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 46,727,712.30 "
Bhutan,BTN,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 207,268,290.30 "
Bhutan,,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 137,946,893.70 "
Bhutan,BTN,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 192,953,907.80 "
Bolivia,BOL,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 425,536,091.40 "
,BOL,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD,
Bosnia and Herzegovina,BIH,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 398,875,912.70 "
Bosnia and Herzegovina,BIH,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 56,522,865.00 "
Botswana,BWA,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 133,555,908.00 "
Botswana,BWA,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 53,337,570.10 "
Botswana,BWA,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 23,988,273.80 "
Brazil,BRA,"PPG, official creditors (AMT, current US$)",yes," 4,611,698,752.00 "
Brazil,BRA,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 3,128,238,799.00 "
Brazil,BRA,"PPG, official creditors (INT, current US$)",yes," 1,039,267,126.00 "
Bulgaria,BGR,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 264,757,222.60 "
Bulgaria,BGR,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD,
Burkina Faso,BFA,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 146,882,229.00 "
Burkina Faso,BFA,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 617,436,227.20 "
Burkina Faso,,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 42,083,630.70 "
,BDI,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 26,576,610.30 "
Burundi,BDI,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 64,846,467.30 "
Burundi,BDI,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 2,573,479.60 "
Cabo Verde,CPV,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 51,737,779.20 "
Cabo Verde,CPV,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD,
Cabo Verde,CPV,"PPG, official creditors (INT, current US$)",yes,
Cambodia,KHM,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 295,607,275.40 "
Cambodia,,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 642,047,150.80 "
,KHM,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 89,520,625.40 "
Cameroon,CMR,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 10,152,021,121.00 "
Cameroon,CMR,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 17,940,581,036.00 "
,CMR,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 166,001,880.30 "
Central African Republic,CAF,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 10,703,876.70 "
Central African Republic,CAF,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 53,717,612.90 "
,,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 2,234,220.80 "
Chad,TCD,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 178,095,924.40 "
Chad,TCD,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 207,090,418.30 "
Chad,,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 27,473,204.10 "
China,CHN,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 9,148,170,156.00 "
China,CHN,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 3,079,501,272.00 "
China,CHN,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD,
